time,heartrate
15:21:10,101
15:21:15,98
15:21:30,98
15:21:45,98
15:21:50,97
15:22:00,99
15:22:05,101
15:22:15,98
15:22:20,92
15:22:25,91
15:22:35,90
15:22:50,90
15:22:55,86
15:23:10,86
15:23:25,84
15:23:30,84
15:23:45,84
15:23:50,84
15:23:60,85
15:24:05,86
15:24:10,87
15:24:15,88
15:24:20,88
15:24:30,90
15:24:35,92
15:24:40,93
15:24:45,97
15:24:50,100
15:24:55,104
15:24:60,106
15:25:05,109
15:25:10,112
15:25:15,114
15:25:20,115
15:25:25,116
15:25:40,116
15:25:55,115
15:26:10,115
15:26:30,114
15:26:35,113
15:26:40,111
15:26:45,111
15:26:60,108
15:27:05,109
15:27:10,110
15:27:15,108
15:27:20,104
15:27:25,105
15:27:30,104
15:27:35,105
15:27:40,106
15:27:45,104
15:27:50,105
15:27:60,106
15:28:05,107
15:28:10,102
15:28:15,101
15:28:20,104
15:28:25,106
15:28:30,107
15:28:35,109
15:28:40,110
15:28:45,111
15:28:50,112
15:28:55,113
15:29:05,112
15:29:10,110
15:29:15,106
15:29:20,106
15:29:30,106
15:29:40,107
15:29:55,107
15:29:60,106
15:30:15,106
15:30:20,107
15:30:25,108
15:30:30,109
15:30:35,108
15:30:45,102
15:30:50,103
15:30:55,101
15:30:60,102
15:31:05,103
15:31:15,101
15:31:20,100
15:31:25,96
15:31:30,91
15:31:35,90
15:31:40,92
15:31:45,93
15:31:60,93
15:32:05,92
15:32:20,92
15:32:25,93
15:32:30,96
15:32:35,97
15:32:45,99
15:32:50,102
15:32:55,103
15:33:05,102
15:33:10,105
15:33:15,107
15:33:30,107
15:33:35,108
15:33:50,108
15:34:05,108
15:34:20,111
15:34:25,108
15:34:30,109
15:34:35,109
15:34:45,113
15:34:50,119
15:34:55,119
15:34:60,120
15:35:05,123
15:35:10,123
15:35:15,125
15:35:20,127
15:35:25,127
15:35:30,126
15:35:35,125
15:35:50,125
15:35:55,127
15:36:10,127
15:36:20,127
15:36:25,126
15:36:30,124
15:36:45,124
15:36:60,124
15:37:10,120
15:37:15,121
15:37:30,121
15:37:40,120
15:37:55,120
15:37:60,118
15:38:15,118
15:38:20,118
15:38:25,117
15:38:35,114
15:38:40,113
15:38:55,113
15:38:60,113
15:39:05,112
15:39:10,110
15:39:20,110
15:39:35,110
15:39:45,111
15:39:50,113
15:40:05,113
15:40:20,114
15:40:25,116
15:40:30,121
15:40:45,121
15:40:55,125
15:41:10,125
15:41:20,124
15:41:35,124
15:42:40,117
15:42:45,115
15:42:55,116
15:42:60,118
15:43:15,118
15:43:25,117
15:43:40,117
15:43:55,117
15:44:10,118
15:44:20,116
15:44:25,116
15:44:30,116
15:44:35,115
15:44:45,117
15:44:50,117
15:45:05,117
15:45:10,122
15:45:20,127
15:45:25,127
15:45:30,128
15:45:35,128
15:45:40,129
15:45:45,127
15:45:55,125
15:46:10,125
15:46:10,125
15:46:20,126
15:46:30,125
